id,name,description,version,effectiveDate,expiryDate,cost,category,revisionSummary,sourceUrl,lastVerified,verifiedBy,stressType
std-2,IEC 60068-2-1,Environmental testing - Part 2-1: Tests - Test A: Cold,Ed. 7.0 (2025),2025-09-23,2031 (Stability),CHF 210,MOXA Standard,技術修訂。更新範圍，新增圖表/符號，闡明風速/測量點程序，重新引入列線圖，修訂溫度公差。,https://webstore.iec.ch/en/publication/82354,2024-11-27,Manual - IEC Webstore,temperature-low
std-3,IEC 60068-2-2,Environmental testing - Part 2-2: Tests - Test B: Dry heat,Ed. 6.0 (2025),2025-09-23,2031 (Stability),CHF 260,MOXA Standard,技術修訂。更新範圍，新增圖表/符號，闘明風速/測量點程序，重新引入列線圖，修訂溫度公差。,https://webstore.iec.ch/en/publication/82355,2024-11-27,Manual - IEC Webstore,temperature-high
std-4,IEC 60068-2-6,Environmental testing - Part 2-6: Tests - Test Fc: Vibration (sinusoidal),Ed. 7.0 (2007),2007-12-13,2029 (Stability),CHF 295,MOXA Standard,,https://webstore.iec.ch/en/publication/544,2024-12-30,Crawler - IEC Webstore,vibration
std-5,IEC 60068-2-13,Environmental testing - Part 2-13: Tests - Test M: Low air pressure,Ed. 5.0 (2021),2021-03-03,2028 (Stability),CHF 40,MOXA Standard,,https://webstore.iec.ch/en/publication/64534,2024-12-30,Crawler - IEC Webstore,pressure
std-6,IEC 60068-2-14,Environmental testing - Part 2-14: Tests - Test N: Change of temperature,Ed. 7.0 (2023),2023-07-27,2027 (Stability),CHF 260,MOXA Standard,技術修訂。第7版取消並替換了2009年發布的第6版。包含重大技術變更，分析環境溫度變化對試品的影響。,https://webstore.iec.ch/en/publication/71503,2024-11-24,Manual - IEC Webstore,temperature-cyclic
std-7,IEC 60068-2-30,"Environmental testing - Part 2-30: Tests - Test Db: Damp heat, cyclic",Ed. 4.0 (2025),2025-08-07,2031 (Stability),CHF 160,MOXA Standard,技術修訂。修訂試驗箱要求，溫度公差，圖表，溫濕度限制，中間測量和試驗報告要求。,https://webstore.iec.ch/en/publication/82356,2024-12-30,Crawler - IEC Webstore,humidity
std-8,IEC 60068-2-52,"Environmental testing - Part 2-52: Tests - Test Kb: Salt mist, cyclic",Ed. 3.0 (2017) RLV,2017-11-07,2027 (Stability),CHF 136,MOXA Standard,RLV 版本（Redline Version），包含基礎標準,https://webstore.iec.ch/en/publication/61926,2024-12-30,Crawler - IEC Webstore,salt-mist
std-9,IEC 60068-2-64,"Environmental testing - Part 2-64: Tests - Test Fh: Vibration, broadband random",Ed. 2.1 (2019),2019-10-09,2026 (Stability),CHF 515,MOXA Standard,,https://webstore.iec.ch/en/publication/65892,2024-11-24,Manual - IEC Webstore,vibration
std-10,IEC 60068-2-78,"Environmental testing - Part 2-78: Tests - Test Cab: Damp heat, steady state",Ed. 3.0 (2025) RLV,2025-08-06,2031 (Stability),CHF 136,MOXA Standard,RLV 版本。技術修訂，修訂試驗箱要求，嚴酷等級，溫度公差，預處理程序，新圖表和報告要求。,https://webstore.iec.ch/en/publication/109062,2024-12-30,Crawler - IEC Webstore,humidity
std-11,IEC 60529,Degrees of protection provided by enclosures (IP Code),2.0,1989-11-30,2027 (Stability),CHF 260,MOXA Standard,,https://webstore.iec.ch/en/publication/2447,2024-11-24,Manual - IEC Webstore,ip-protection
